A00;Choléra
A01;Fièvres typhoïde et paratyphoïde
A02;Autres salmonelloses
A03;Shigellose
A04;Autres infections intestinales bactériennes
A05;Autres intoxications bactériennes d'origine alimentaire, non
A06;Amibiase
A07;Autres maladies intestinales à protozoaires
A08;Infections virales intestinales et autres infections intestinales
A09;Autres gastroentérites et colites d'origine infectieuse et non
A15;Tuberculose de l'appareil respiratoire, avec confirmation
A16;Tuberculose de l'appareil respiratoire, sans confirmation
A17;Tuberculose du système nerveux
A18;Tuberculose d'autres organes
A19;Tuberculose miliaire
A20;Peste
A21;Tularémie
A22;Charbon
A23;Brucellose
A24;Morve et mélioïdose
A25;Fièvres causées par morsure de rat
A26;Érysipéloïde
A27;Leptospirose
A28;Autres anthropozoonoses bactériennes, non classées ailleurs
A30;Lèpre [maladie de Hansen]
A31;Infections dues à d'autres mycobactéries
A32;Listériose
A33;Tétanos du nouveau-né
A34;Tétanos obstétrical
A35;Autres formes de tétanos
A36;Diphtérie
A37;Coqueluche
A38;Scarlatine
A39;Infection à méningocoques
A40;Sepsis à streptocoques
A41;Autres sepsis
A42;Actinomycose
A43;Nocardiose
A44;Bartonellose
A46;Érysipèle
A48;Autres maladies bactériennes, non classées ailleurs
A49;Infection bactérienne, siège non précisé
A50;Syphilis congénitale
A51;Syphilis précoce
A52;Syphilis tardive
A53;Syphilis, autres et sans précision
A54;Infection gonococcique
A55;Lymphogranulomatose vénérienne à Chlamydia
A56;Autres infections à Chlamydia transmises par voie sexuelle
A57;Chancre mou
A58;Granulome inguinal
A59;Trichomonase
A60;Infection anogénitale par le virus de l'herpès [Herpes simplex]
A63;Autres maladies dont le mode de transmission est essentiellement
A64;Maladie sexuellement transmise, sans précision
A65;Syphilis non vénérienne
A66;Pian
A67;Pinta [caraté]
A68;Fièvres récurrentes [borrélioses]
A69;Autres infections à spirochètes
A70;Infection à Chlamydia psittaci
A71;Trachome
A74;Autres infections à Chlamydia
A75;Typhus
A77;Fièvre pourprée [rickettsioses à tiques]
A78;Fièvre Q
A79;Autres rickettsioses
A80;Poliomyélite aigüe
A81;Infections atypiques à virus, du système nerveux central
A82;Rage
A83;Encéphalite virale transmise par des moustiques
A84;Encéphalite virale transmise par des tiques
A85;Autres encéphalites virales, non classées ailleurs
A86;Encéphalite virale, sans précision
A87;Méningite virale
A88;Autres infections virales du système nerveux central, non classées
A89;Infection virale du système nerveux central, sans précision
A90;Dengue [dengue classique]
A91;Fièvre hémorragique due au virus de la dengue
A92;Autres fièvres virales transmises par des moustiques
A93;Autres fièvres virales transmises par des arthropodes, non classées
A94;Fièvre virale transmise par des arthropodes, sans précision
A95;Fièvre jaune
A96;Fièvre hémorragique à arénavirus
A98;Autres fièvres hémorragiques virales, non classées ailleurs
A99;Fièvre hémorragique virale, sans précision
B00;Infections par le virus de l'herpès [Herpes simplex]
B01;Varicelle
B02;Zona [herpes zoster]
B03;Variole
B04;Monkeypox
B05;Rougeole
B06;Rubéole
B07;Verrues d'origine virale
B08;Autres infections virales caractérisées par des lésions
B09;Infection virale caractérisée par des lésions cutanéomuqueuses, sans
B15;Hépatite aigüe A
B16;Hépatite aigüe B
B17;Autres hépatites virales aigües
B18;Hépatite virale chronique
B19;Hépatite virale, sans précision
B20;Immunodéficience humaine virale [VIH], à l'origine de maladies
B21;Immunodéficience humaine virale [VIH], à l'origine de tumeurs
B22;Immunodéficience humaine virale [VIH], à l'origine d'autres
B23;Immunodéficience humaine virale [VIH], à l'origine d'autres maladies
B24;Immunodéficience humaine virale [VIH], sans précision
B25;Maladie à cytomégalovirus
B26;Oreillons
B27;Mononucléose infectieuse
B30;Conjonctivite virale
B33;Autres maladies à virus, non classées ailleurs
B34;Infection virale, siège non précisé
B35;Dermatophytose
B36;Autres mycoses superficielles
B37;Candidose
B38;Coccidioïdomycose
B39;Histoplasmose
B40;Blastomycose
B41;Paracoccidioïdomycose
B42;Sporotrichose
B43;Chromomycose [chromoblastomycose] et abcès phæohyphomycosique
B44;Aspergillose
B45;Cryptococcose
B46;Zygomycose
B47;Mycétome
B48;Autres mycoses, non classées ailleurs
B49;Mycose, sans précision
B50;Paludisme à Plasmodium falciparum
B51;Paludisme à Plasmodium vivax
B52;Paludisme à Plasmodium malariae
B53;Autres paludismes confirmés par examen parasitologique
B54;Paludisme, sans précision
B55;Leishmaniose
B56;Trypanosomiase africaine
B57;Maladie de Chagas
B58;Toxoplasmose
B59;Pneumocystose (J17.3)
B60;Autres maladies dues à des protozoaires, non classées ailleurs
B64;Maladie due à des protozoaires, sans précision
B65;Schistosomiase [bilharziose]
B66;Autres infections par douves [distomatoses]
B67;Échinococcose
B68;Infection à Taenia [téniase]
B69;Cysticercose
B70;Diphyllobothriase et sparganose
B71;Autres infections à cestodes
B72;Dracunculose
B73;Onchocercose
B74;Filariose
B75;Trichinose
B76;Ankylostomiase
B77;Ascaridiase
B78;Anguillulose [strongyloïdose]
B79;Infection à Trichuris trichiuria
B80;Oxyurose
B81;Autres helminthiases intestinales, non classées ailleurs
B82;Parasitose intestinale, sans précision
B83;Autres helminthiases
B85;Pédiculose et phtiriase
B86;Gale
B87;Myiase
B88;Autres infestations
B89;Parasitose, sans précision
B90;Séquelles de tuberculose
B91;Séquelles de poliomyélite
B92;Séquelles de lèpre
B94;Séquelles de maladies infectieuses et parasitaires, autres et non
B95;Streptocoques et staphylocoques, cause de maladies classées dans
B96;Autres agents bactériens précisés, cause de maladies classées dans
B97;Virus, cause de maladies classées dans d'autres chapitres
B98;Autres agents infectieux précisés, cause de maladies classées dans
B99;Maladies infectieuses, autres et non précisées
C00;Tumeur maligne de la lèvre
C01;Tumeur maligne de la base de la langue
C02;Tumeur maligne de la langue, parties autres et non précisées
C03;Tumeur maligne de la gencive
C04;Tumeur maligne du plancher de la bouche
C05;Tumeur maligne du palais
C06;Tumeur maligne de la bouche, parties autres et non précisées
C07;Tumeur maligne de la glande parotide
C08;Tumeur maligne des glandes salivaires principales, autres et non
C09;Tumeur maligne de l'amygdale
C10;Tumeur maligne de l'oropharynx
C11;Tumeur maligne du rhinopharynx
C12;Tumeur maligne du sinus piriforme
C13;Tumeur maligne de l'hypopharynx
C14;Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de
C15;Tumeur maligne de l'œsophage
C16;Tumeur maligne de l'estomac
C17;Tumeur maligne de l'intestin grêle
C18;Tumeur maligne du côlon
C19;Tumeur maligne de la jonction rectosigmoïdienne
C20;Tumeur maligne du rectum
C21;Tumeur maligne de l'anus et du canal anal
C22;Tumeur maligne du foie et des voies biliaires intrahépatiques
C23;Tumeur maligne de la vésicule biliaire
C24;Tumeurs malignes des voies biliaires, autres et non précisées
C25;Tumeur maligne du pancréas
C26;Tumeur maligne des organes digestifs, de sièges autres et mal
C30;Tumeur maligne des fosses nasales et de l'oreille moyenne
C31;Tumeur maligne des sinus de la face
C32;Tumeur maligne du larynx
C33;Tumeur maligne de la trachée
C34;Tumeur maligne des bronches et du poumon
C37;Tumeur maligne du thymus
C38;Tumeur maligne du cœur, du médiastin et de la plèvre
C39;Tumeur maligne de l'appareil respiratoire et des organes
C40;Tumeur maligne des os et du cartilage articulaire des membres
C41;Tumeur maligne des os et du cartilage articulaire, de sièges autres
C43;Mélanome malin de la peau
C44;Autres tumeurs malignes de la peau
C45;Mésothéliome
C46;Sarcome de Kaposi
C47;Tumeur maligne des nerfs périphériques et du système nerveux
C48;Tumeur maligne du rétropéritoine et du péritoine
C49;Tumeur maligne du tissu conjonctif et des autres tissus mous
C50;Tumeur maligne du sein
C51;Tumeur maligne de la vulve
C52;Tumeur maligne du vagin
C53;Tumeur maligne du col de l'utérus
C54;Tumeur maligne du corps de l'utérus
C55;Tumeur maligne de l'utérus, partie non précisée
C56;Tumeur maligne de l'ovaire
C57;Tumeur maligne des organes génitaux de la femme, autres et non
C58;Tumeur maligne du placenta
C60;Tumeur maligne de la verge
C61;Tumeur maligne de la prostate
C62;Tumeur maligne du testicule
C63;Tumeur maligne des organes génitaux de l'homme, autres et non
C64;Tumeur maligne du rein, à l'exception du bassinet
C65;Tumeur maligne du bassinet
C66;Tumeur maligne de l'uretère
C67;Tumeur maligne de la vessie
C68;Tumeur maligne des organes urinaires, autres et non précisés
C69;Tumeur maligne de l'œil et de ses annexes
C70;Tumeur maligne des méninges
C71;Tumeur maligne de l'encéphale
C72;Tumeur maligne de la moelle épinière, des nerfs crâniens et d'autres
C73;Tumeur maligne de la thyroïde
C74;Tumeur maligne de la surrénale
C75;Tumeur maligne d'autres glandes endocrines et structures apparentées
C76;Tumeur maligne de sièges autres et mal définis
C77;Tumeur maligne des ganglions lymphatiques, secondaire et non
C78;Tumeur maligne secondaire des organes respiratoires et digestifs
C79;Tumeur maligne secondaire de sièges autres et non précisés
C80;Tumeur maligne de siège non précisé
C81;Lymphome de Hodgkin
C82;Lymphome folliculaire
C83;Lymphome non folliculaire
C84;Lymphomes à cellules T/NK matures
C85;Lymphome non hodgkinien, de types autres et non précisés
C86;Autres types précisés de lymphomes à cellules N/TK
C88;Maladies immunoprolifératives malignes
C90;Myélome multiple et tumeurs malignes à plasmocytes
C91;Leucémie lymphoïde
C92;Leucémie myéloïde
C93;Leucémie monocytaire
