finess;tx_brut_ete;tx_brut_dc;nb_sej;tx_brut_moy_nat_PTG
10008407;0;0;29;32.1696
10780054;10.98901099;0;91;32.1696
10780062;0;0;41;32.1696
10780195;129.0322581;16.12903226;124;32.1696
10780203;173.9130435;0;23;32.1696
20000063;46.2962963;0;108;32.1696
20000253;0;0;49;32.1696
20000261;0;0;74;32.1696
20000287;0;0;12;32.1696
20000360;13.33333333;0;75;32.1696
20004404;0;0;39;32.1696
20010047;0;0;108;32.1696
30780092;0;0;31;32.1696
30780100;0;0;42;32.1696
30780118;7.692307692;0;130;32.1696
30780548;21.27659574;0;47;32.1696
30781116;21.73913043;0;138;32.1696
30785430;0;0;192;32.1696
40780215;0;0;35;32.1696
40780470;0;0;48;32.1696
40788879;34.09090909;0;88;32.1696
50000090;211.9205298;0;151;32.1696
50000116;0;0;6;32.1696
50002948;0;0;36;32.1696
60021417;0;0;4;32.1696
60780491;0;0;34;32.1696
60780517;0;0;227;32.1696
60780590;16.12903226;0;62;32.1696
60780665;0;0;30;32.1696
60780715;26.40264026;0;303;32.1696
60780723;0;18.18181818;55;32.1696
60780897;0;0;28;32.1696
60780954;0;0;63;32.1696
60780988;0;0;20;32.1696
60781200;0;0;83;32.1696
60785011;3.546099291;0;282;32.1696
60791761;0;0;31;32.1696
60800166;15.7480315;0;127;32.1696
70002878;71.42857143;0;14;32.1696
70005566;0;0;2;32.1696
70780168;0;0;58;32.1696
70780358;40;0;25;32.1696
70780408;20;0;50;32.1696
70780424;9.216589862;0;217;32.1696
80000037;0;0;9;32.1696
80000615;129.0322581;0;31;32.1696
80001969;0;0;2;32.1696
80010267;125;0;128;32.1696
90781774;191.3043478;8.695652174;115;32.1696
90781816;0;0;41;32.1696
100000017;24.3902439;0;41;32.1696
100000082;0;0;73;32.1696
100000124;15.7480315;0;381;32.1696
100002351;37.03703704;0;27;32.1696
110780061;0;0;61;32.1696
110780137;0;0;134;32.1696
110780228;15.625;0;64;32.1696
110780483;0;0;151;32.1696
120004528;0;0;50;32.1696
120780044;30.76923077;0;65;32.1696
120780069;0;0;49;32.1696
120780085;0;0;12;32.1696
130008253;0;12.5;80;32.1696
