finess;tx_brut_ete;tx_brut_dc;nb_sej;tx_brut_moy_nat_PTH
10008407;0;11.62790698;86;9.682812
10780054;0;8.163265306;245;9.682812
10780062;0;32.25806452;62;9.682812
10780195;16.32653061;20.40816327;245;9.682812
10780203;57.14285714;57.14285714;70;9.682812
20000063;19.7044335;0;203;9.682812
20000253;7.042253521;7.042253521;142;9.682812
20000261;7.194244604;7.194244604;139;9.682812
20000287;52.63157895;105.2631579;38;9.682812
20000360;9.615384615;0;104;9.682812
20004404;35.29411765;23.52941176;85;9.682812
20010047;5.025125628;5.025125628;199;9.682812
30780092;7.407407407;7.407407407;135;9.682812
30780100;0;15.7480315;127;9.682812
30780118;0;12.44813278;241;9.682812
30780548;8.849557522;8.849557522;113;9.682812
30781116;9.771986971;6.51465798;307;9.682812
30785430;4.273504274;0;234;9.682812
40780215;0;15.87301587;126;9.682812
40780470;0;0;49;9.682812
40788879;0;12.42236025;161;9.682812
50000090;31.11111111;0;225;9.682812
50000116;0;0;46;9.682812
50002948;0;6.134969325;163;9.682812
60021417;0;0;24;9.682812
60780491;0;10.41666667;96;9.682812
60780517;3.164556962;6.329113924;316;9.682812
60780590;0;0;96;9.682812
60780665;18.18181818;0;55;9.682812
60780715;7.352941176;9.191176471;544;9.682812
60780723;0;11.9047619;84;9.682812
60780897;7.352941176;7.352941176;136;9.682812
60780954;0;10.92896175;183;9.682812
60780988;0;21.73913043;230;9.682812
60781200;0;7.936507937;126;9.682812
60785011;1.841620626;12.89134438;543;9.682812
60791761;0;31.91489362;94;9.682812
60800166;0;0;214;9.682812
70002878;39.21568627;0;51;9.682812
70005566;0;0;131;9.682812
70780168;0;0;103;9.682812
70780358;0;61.72839506;81;9.682812
70780408;14.92537313;0;67;9.682812
70780424;0;2.840909091;352;9.682812
80000037;38.46153846;0;26;9.682812
80000615;107.8431373;0;102;9.682812
80001969;0;45.45454545;22;9.682812
80010267;64.39393939;3.787878788;264;9.682812
90781774;20.10050251;5.025125628;199;9.682812
90781816;0;16.39344262;61;9.682812
100000017;0;27.39726027;146;9.682812
100000082;0;0;92;9.682812
100000124;0;0;466;9.682812
100002351;26.31578947;0;38;9.682812
110780061;10.1010101;25.25252525;198;9.682812
110780137;12.19512195;8.130081301;246;9.682812
110780228;0;0;99;9.682812
110780483;0;17.24137931;174;9.682812
120004528;0;11.56069364;173;9.682812
120780044;9.090909091;22.72727273;220;9.682812
120780069;0;7.092198582;141;9.682812
120780085;0;22.72727273;44;9.682812
130008253;0;0;91;9.682812
130037922;47.13804714;16.83501684;297;9.682812
130041916;0;34.26791277;321;9.682812
130043664;0;42.55319149;47;9.682812
130780521;22.22222222;33.33333333;90;9.682812
130781289;0;0;61;9.682812
130781370;0;10.69518717;187;9.682812
130781446;0;27.02702703;111;9.682812
130781479;0;20.2020202;198;9.682812
130781867;0;0;75;9.682812
130782071;25.64102564;12.82051282;78;9.682812
130782147;0;0;89;9.682812
130782162;0;0;41;9.682812
130782634;11.62790698;0;86;9.682812
130782675;0;45.45454545;22;9.682812
130783236;4.385964912;8.771929825;228;9.682812
130783293;0;0;2;9.682812
130783327;0;66.66666667;15;9.682812
130783665;25.64102564;25.64102564;39;9.682812
130783723;0;0;357;9.682812
130784051;0;0;7;9.682812
130784234;7.614213198;0;394;9.682812
130784713;34.48275862;25.86206897;116;9.682812
130785355;0;0;64;9.682812
130785363;0;23.80952381;42;9.682812
130785389;0;11.9760479;167;9.682812
130785512;14.08450704;28.16901408;71;9.682812
130785652;19.23076923;38.46153846;260;9.682812
130785678;71.42857143;71.42857143;28;9.682812
130786361;4.608294931;23.04147465;217;9.682812
130786742;0;10.52631579;95;9.682812
130789274;0;17.54385965;57;9.682812
130789316;0;28.98550725;69;9.682812
130804297;0;0;1;9.682812
130810740;0;0;200;9.682812
140000035;0;8.333333333;120;9.682812
140000092;0;12.98701299;77;9.682812
140000100;57.0719603;7.444168734;403;9.682812
140000118;0;0;93;9.682812
140000290;4.081632653;0;245;9.682812
140016759;29.09090909;0;275;9.682812
140017237;6.349206349;1.587301587;630;9.682812
140018730;0;0;115;9.682812
140026709;0;0;91;9.682812
150780088;0;40;75;9.682812
150780096;0;25;80;9.682812
150780732;0;8.042895442;373;9.682812
160000170;0;6.51465798;307;9.682812
160000279;0;8.064516129;124;9.682812
160000451;0;25.3164557;237;9.682812
160013207;0;0;237;9.682812
160014411;0;0;1;9.682812
170023279;7.407407407;18.51851852;270;9.682812
170780050;0;17.24137931;58;9.682812
170780167;0;0;27;9.682812
170780175;8.130081301;24.3902439;123;9.682812
170780225;12.65822785;0;158;9.682812
170780563;0;4;250;9.682812
170780613;0;0;160;9.682812
170780621;6.802721088;27.21088435;147;9.682812
170780647;0;0;172;9.682812
170780662;12.86173633;0;311;9.682812
180000028;0;17.85714286;168;9.682812
180000051;21.27659574;85.10638298;47;9.682812
180000358;0;7.518796992;133;9.682812
180004145;3.289473684;0;304;9.682812
190000042;13.42281879;13.42281879;149;9.682812
190000059;0;49.38271605;81;9.682812
190000075;0;0;65;9.682812
190000224;2.05338809;6.160164271;487;9.682812
200200145;0;14.70588235;68;9.682812
210006318;0;0;14;9.682812
210011847;0;0;21;9.682812
210780110;39.21568627;19.60784314;51;9.682812
210780136;6.968641115;13.93728223;287;9.682812
210780581;19.44444444;25;360;9.682812
210780706;11.11111111;11.11111111;180;9.682812
210780714;17.04545455;11.36363636;176;9.682812
210780789;0;10.52631579;95;9.682812
210780979;6.711409396;6.711409396;149;9.682812
220000020;4.219409283;37.97468354;237;9.682812
220000046;0;0;1;9.682812
220000079;0;0;170;9.682812
220000103;6.896551724;20.68965517;145;9.682812
220000111;0;0;271;9.682812
220000285;0;2.369668246;422;9.682812
220000301;0;0;2;9.682812
220005599;0;13.69863014;146;9.682812
230780041;5.813953488;46.51162791;172;9.682812
230780157;0;8.928571429;112;9.682812
230780199;41.66666667;41.66666667;24;9.682812
240000059;0;22.22222222;90;9.682812
240000117;0;33.89830508;118;9.682812
240000190;5.050505051;0;198;9.682812
240000208;0;0;156;9.682812
240000216;8.032128514;0;249;9.682812
240000448;0;0;55;9.682812
250000015;28.1124498;24.09638554;249;9.682812
250000270;4.545454545;0;440;9.682812
250000452;0;15.70680628;191;9.682812
250011723;5.405405405;0;185;9.682812
250011848;0;0;256;9.682812
